OBJECTID_1,OBJECTID,Campground,Type,Managed_by,Ramp_Type,Ramp_Type2,Num_sites,Fee,Lat,Long,Website,Transparen,SymbolID
1,1,Arod Lake,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,1,N,47.99550818,-112.028421,http://fwp.mt.gov/fishing/siteDetail.html?id=282414,0, 
2,2,Bratten,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,5,Y,45.71669043,-109.6301672,http://fwp.mt.gov/fishing/siteDetail.html?id=283069,0, 
3,3,Brownes Bridge,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,5,N,45.5467106,-112.6923047,http://fwp.mt.gov/fishing/siteDetail.html?id=281665,0, 
4,4,Corrick's River Bend,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,12,Y,46.95137587,-113.5385004,http://fwp.mt.gov/fishing/siteDetail.html?id=280935,0, 
5,5,Ennis,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,18,Y,45.34442363,-111.7230867,http://fwp.mt.gov/fishing/siteDetail.html?id=281716,0, 
6,6,Fresno Tailwater,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,4,N,48.59837942,-109.9409946,http://fwp.mt.gov/fishing/siteDetail.html?id=283536,0, 
7,7,Glen,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,7,N,45.46665995,-112.6690591,http://fwp.mt.gov/fishing/siteDetail.html?id=281742,0, 
8,8,Greycliff,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,12,Y,45.70191283,-111.5141786,http://fwp.mt.gov/fishing/siteDetail.html?id=281578,0, 
9,9,Harry Morgan,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,4,Y,46.98094999,-113.0973163,http://fwp.mt.gov/fishing/siteDetail.html?id=280695,0, 
10,10,Indian Fort,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,30,Y,45.71536628,-109.5485694,http://fwp.mt.gov/fishing/siteDetail.html?id=283195,0, 
11,11,Maidenrock,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,10,Y,45.65558284,-112.6961063,http://fwp.mt.gov/fishing/siteDetail.html?id=281451,0, 
12,12,Mid Canon,boat launch/fishing access/campsite,MT FWP,gravel/river/lake bottom, ,5,Y,47.12547744,-111.8850831,http://fwp.mt.gov/fishing/siteDetail.html?id=282598,0, 
