Airport,2012,2013,2014,2015,2016,2017,2018,Latitude,Longitude
Billings,441762,387629,419843,420509,422220,415211,440733,45.803508,-108.537914
Bozeman,433829,442540,483132,511723,544034,600361,670923,45.777674,-111.160613
Butte,20471,28956,29246,26753,25480,27250,25809,45.954838,-112.507548
Glasgow,1945,2039,3861,3802,3208,3515,4084,48.212575,-106.615521
Glendive,742,702,2518,2165,2355,2229,2744,47.138889,-104.806944
Great Falls,190189,185724,193283,188176,177348,172540,179644,47.482502,-111.35663
Havre,1186,1177,2409,2394,2323,2716,3228,48.54383,-109.759126
Helana,97026,98379,97864,100146,103605,105044,116775,46.609579,-111.990227
Kalispell,194030,200729,227561,236468,247445,270451,307281,48.177274,-114.303021
Missoula,303016,297025,334403,350461,379532,388028,424836,46.918594,-114.085875
Sidney,11799,9046,11716,10085,8035,8401,9759,47.705877,-104.190109
Wolf Point,2987,2578,4013,3957,3439,3804,3849,48.094334,-105.574869
Yellowstone,4957,5290,5628,7796,8525,8727,8500,44.686718,-111.114561
