FID,Shape *,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Total,Gas,Lodging,Restaurant,Visitors,Visit_Rank
0,Polygon,65,1719593,30065,Musselshell,Musselshell County,4840572325,7124119,46.5052807,-108.4397631,1264000,378000,320000,422000,9000,45
1,Polygon,15,1719619,30015,Chouteau,Chouteau County,10288773071,62617603,47.886837,-110.4361888,4335000,558000,290000,685000,15400,53
2,Polygon,59,1719600,30059,Meagher,Meagher County,6194911314,7474581,46.5856996,-110.9217396,8275000,2215000,427000,594000,38800,47
3,Polygon,87,1716795,30087,Rosebud,Rosebud County,12972203125,43041228,46.1733598,-106.6664101,4186000,2272000,404000,502000,15900,17
4,Polygon,97,1719569,30097,Sweet-Grass,Sweet Grass County,4805632555,17639847,45.8112917,-109.944796,18138000,11308000,1402000,1613000,20400,9
5,Polygon,49,793926,30049,Lewis-and-Clark,Lewis and Clark County,8957583813,101077021,47.1220341,-112.3829244,144886000,15322000,17713000,27831000,382100,21
6,Polygon,73,1719587,30073,Pondera,Pondera County,4207608907,43980131,48.2303121,-112.219928,3817000,1290000,595000,925000,17000,28
7,Polygon,33,1716058,30033,Garfield,Garfield County,12112230876,446866747,47.280033,-106.9867061,1673000,1036000,233000,246000,3800,54
8,Polygon,11,1688746,30011,Carter,Carter County,8651796925,19499108,45.5168247,-104.5153243,542000,110000,0,92000,3900,34
9,Polygon,31,1720053,30031,Gallatin,Gallatin County,6746211520,75237113,45.5180536,-111.1639214,659981000,72999000,85014000,129287000,490100,1
10,Polygon,51,1720036,30051,Liberty,Liberty County,3703660708,44389510,48.5596541,-111.0369242,490000,82000,16000,282000,7500,40
11,Polygon,93,1719575,30093,Silver-Bow,Silver Bow County,1859564311,1522160,45.895959,-112.6602218,126527000,55708000,23973000,23048000,151800,6
12,Polygon,13,1719622,30013,Cascade,Cascade County,6988276640,34358092,47.3164427,-111.350571,197874000,33890000,35978000,50153000,310500,26
13,Polygon,29,1719611,30029,Flathead,Flathead County,13175875606,437083869,48.3145749,-114.0545326,530614000,39132000,63241000,125237000,322400,15
14,Polygon,27,1719614,30027,Fergus,Fergus County,11238810568,27700322,47.2236414,-109.2237135,21367000,7529000,2792000,4181000,70900,43
15,Polygon,7,1719625,30007,Broadwater,Broadwater County,3088128102,118543478,46.3298486,-111.4978728,2346000,741000,86000,688000,15800,13
16,Polygon,3,1716521,30003,Big-Horn,Big Horn County,12942419269,49256421,45.407869,-107.5181625,20994000,8755000,1232000,1880000,20300,11
17,Polygon,89,1719578,30089,Sanders,Sanders County,7149422259,76377026,47.7565002,-115.1802948,14950000,2239000,1794000,3662000,41800,37
18,Polygon,53,1720038,30053,Lincoln,Lincoln County,9356865944,161078674,48.5523847,-115.4631849,53745000,20148000,1605000,7353000,47600,32
19,Polygon,39,1719605,30039,Granite,Granite County,4473328243,14547083,46.3959554,-113.4273564,10129000,1020000,1020000,1148000,27800,10
20,Polygon,17,1720109,30017,Custer,Custer County,9798813338,25522662,46.2614807,-105.550508,50269000,20049000,8216000,10265000,47300,18
21,Polygon,83,1715338,30083,Richland,Richland County,5398317072,49588405,47.7855132,-104.5633871,46535000,18474000,2522000,7930000,38800,52
22,Polygon,109,1696629,30109,Wibaux,Wibaux County,2301488703,1756850,46.9629657,-104.2745184,512000,245000,93000,167000,600,20
23,Polygon,37,1723078,30037,Golden-Valley,Golden Valley County,3041740414,2621792,46.3806243,-109.1745855,171000,171000,0,0,3300,48
24,Polygon,9,1720111,30009,Carbon,Carbon County,5304259855,34681612,45.2244745,-109.0285509,35228000,9737000,8664000,8969000,41900,27
25,Polygon,101,1719566,30101,Toole,Toole County,4959885520,78009540,48.6450515,-111.7334927,47652000,30904000,5420000,5425000,36300,31
26,Polygon,5,1722470,30005,Blaine,Blaine County,10948196441,29079150,48.4282823,-108.9676475,4075000,873000,344000,372000,12400,38
27,Polygon,45,1719602,30045,Judith-Basin,Judith Basin County,4842466683,2066731,47.032558,-110.30532,1120000,347000,29000,122000,7600,44
28,Polygon,77,1720021,30077,Powell,Powell County,6024448201,16220808,46.8442254,-112.9310998,11479000,2663000,959000,4171000,16800,7
29,Polygon,67,1720027,30067,Park,Park County,7259224503,27025613,45.4219048,-110.5327983,185655000,39928000,33186000,33785000,88000,2
30,Polygon,85,1669428,30085,Roosevelt,Roosevelt County,6097930309,37820803,48.2827471,-104.9951698,9265000,4683000,965000,2132000,21900,33
31,Polygon,25,1688745,30025,Fallon,Fallon County,4197205011,5915331,46.3181841,-104.4057182,342000,132000,46000,141000,8000,51
