OBJECTID,Name,WEBSITE,CONTACT,PHONE,ADDRESS,CITY,OUTDOOR,INDOOR,ARCH,SHOTG,SHOTGUNTYP,HANDG,RIFLE,MUZZLEL,Lat,Long
1,Gallatin Sporting Clays,http://www.gallatinclays.org, ,4063881346,1300 Little Coulee Trail,Bozeman,x, , ,x,"sporting, 5 stand", , , ,45.891851,-111.44061
2,Logan Gun Club, ,Gary Reed, ,438 Logan Trident Road,Logan,x, ,x,x,"trap, skeet",x,x,x,45.891851,-111.44061
3,Havre Trap Club, ,Earl Hepler, ,"101 Co Rd 802
",Havre, , , ,x, , , , ,48.522414,-109.670642
4,Rudyard Gun Club, ,Bob Wehr, ,Rudyard Road South,Rudyard,x, , ,x, , , , ,48.465788,-110.560841
5,Judith Basin Archery Club, , ,4065662292,"3rd St W
",Stanford,x,x,x, , , , , ,47.149043,-110.223756
6,Helena Trap Club,http://www.helenatrapclub.com,Mark Keller,4064589920,5505 Norh Montana Ave,Helena,x, , ,x,trap, , , ,46.653576,-112.018259
7,Tobacco Valley Rod & Gun, , , ,3rd St W,Eureka,x, , ,x, ,x,x,x,48.856929,-115.070916
8,Hellgate Civilian Shooters Association,http://www.hellgatecsa.org, ,4065433075,17770 Deep Creek Rd.,Missoula,x, , ,x,unk,x,x,x,46.8595,-114.07593
9,Five Valley Archery,https://www.facebook.com/FVArcheryClub,Paul Roush, ,5106 Mainview Dr,Missoula,x, , , , , , , ,46.792151,-114.063184
10,Missoula Trap & Skeet Club,http://www.missoulatrapandskeet.com,Gene Clawson,4065494815,8650 Hwy 10 W,Missoula,x, , ,x,"trap, skeet, 5 stand", , , ,46.954403,-114.148243
11,Wilderness Sportsman Club,http://www.mtwsc.org, , ,"Woodworth Seeley Lake Rd
",Seeley Lake,x, , ,x, ,x,x,x,47.189026,-113.445192
12,Park County Rod & Gun,http://www.pcrgc.blogspot.com,Hayes Goosey,4065800119,Meigs Road,Livingston,x, ,x,x,trap,x,x,x,45.702672,-110.574116
13,Hamilton Trap Club,http://www.hamiltontrapclub.com,Mary Guiles,4063632656,Hamilton Airport Road,Hamilton,x, , ,x,"trap, 5 stand", , , ,46.252854,-114.130436
14,Whittecar Rifle & Pistol Range,http://www.whittecarrange.com,Hoot Gibson,4063637078,578 Blodgett View Rd,Hamilton,x, , ,x,5 stand,x,x,x,46.273361,-114.215222
15,Lone Tree Archers, ,Kenny Satra, ,"County Roud 122 (8 miles from Sidney)
",Sidney,x, ,x, , , , , ,47.704263,-104.079468
16,Colstrip Sportsmans Club, ,Bob Henriksen, ,"left off of MT-39 N
",Colstrip,x,x,x, , ,x,x,x,45.898776,-106.640736
17,Hot Springs Shooting Range, ,Don F Smith, ,"124 Little Bitteroot Road
",Hot Springs,x, ,x,x,trap,x,x,x,47.61335,-114.599575
18,Noxon Rod & Gun Club,http://www.rockymountainrangers.com,Jim Mershon, ,"305 Remington Road
",Noxon,x,x,x,x,trap,x,x,x,47.986398,-115.771364
19,Plains City Range, ,Bill Holland, ,"7245 MT-200 
",Plains,x, , , , ,x,x,x,47.503097,-114.920995
20,Thompson Falls Trap Club, ,Mike Freed, ,"26 Trap Club Lane
",Thompson Falls,x, ,x,x, ,x,x,x,47.580966,-115.232171
21,Plentywood Trap Club, ,Melvin Hall, ,"Sheridan County Fairgrounds
",Plentywood, , , ,x,trap, , , ,48.767779,-104.538992
22,Windy Ridge Trap, ,Cas Dirkis, ,"32 1st Road NW
",Fairfield, , , , , , , , ,47.620544,-111.990882
23,Shelby Trap Club, ,Ray Tomscheck, ,"90 Benjamin Road 
",Shelby,x, , ,x, , ,x, ,48.510689,-111.832424
24,Billings Rod & Gun Club,http://www.billingsrodandgun.org,Larry Whitmyer,4062590006,2931 Rod And Gun Club Rd,Billings,x,x,x,x,"skeet, sporting, 5 stand",x,x,x,45.81669,-108.590383
25,Broadwater Rod & Gun Club,http://www.brgcmt.com,Virgil Binkley, ,"330 Indian Creek Road
",Townsend,x,x, ,x,trap,x,x, ,46.335959,-111.602432
26,Central Montana Shooting Complex,http://www.cmtsc.com,Bruce Luhrsen,4065389408,520 Lime Klin Rd,Lewistown,x, , ,x,"sporting clay, trap, skeet",x,x,x,47.096618,-109.42498
27,Anaconda Archery Range, , , ,"Washoe Park
",Anaconda, , , , , , , , ,46.135262,-112.960762
28,Anaconda Trap Club, , ,4065633800,4111 Mount Highway 1 E,Anaconda,x, , ,x,"trap, skeet", , , ,46.110845,-112.850804
29,Cut Bank Sportsman's Gun Range,http://www.cutbanksportsman.blogspot.com, , ,2628 Valier HWY,Cut Bank, , , , , , , , ,48.605807,-112.359098
30,Pondera Shooting Sports, , , ,"972 GRANITE RD
",Conrad, , , , , , , , ,48.163588,-111.977553
31,Western Montana Fish and Game Association,http://www.wmfg.org, ,4063700804,6328 Shooting Center Lane,Missoula,x,x,x,x,trap,x,x,x,46.872431,-113.92264
32,Chinook Rod and Gun Club, , , ,Clear Creek Road,Chinook, , , , , ,x, , ,48.549063,-109.310617
33,Rocky Mountain Rangers, , , ,"305 Remington Road
",Noxon, , , , , , , , ,47.986398,-115.771364
34,Beaverhead Gun Club, ,Hank Greitl,4066834923,"2125 White Lane
",Dillon,x, , ,x,trap, , , ,45.199458,-112.61386
35,Trails End Rifle & Pistol Club, ,Terry Pedersen,4063776836,"917 Snyder Ave
",Glendive, ,x, , , ,x,x, ,47.090718,-104.710535
36,Anaconda Rifle & Pistol Club, , ,4065635691,"4434 N Cable Road 
",Anaconda, , , , , , ,x, ,46.165142,-113.059952
37,Billings Trap Club,http://www.billingstrapclub.com,Dave Rahn,4062596148,2499 Lake Elmo Dr,Billings,x, , ,x,trap, , , ,45.84201,-108.475011
38,Polson Shooters Association,http://www.polsonshooters.com,Rob St. Clair,4062708886,38386 Kerr Dam Rd,Polson,x, , , , ,x,x,x,47.661347,-114.1953
