FID,Town_ID,Name,County,Pop_2010,Pop_2000,Pop_1990,Type,Lon,Lat,Elevation,Alt_Names,Max_2010,Max_2000,Max_1990,GeoID10,Shifted
0,1,Absarokee,Stillwater,1150,1223,1039,Census Designated Place,-109.4440002,45.52119827,4035, ,1150,1318,1125,3000175,0
1,2,Alberton,Mineral,420,374,354,Incorporated Place,-114.4820023,47.00419998,3064, ,420,376,408,3000700,1
2,3,Arlee,Lake,636,603,490,Census Designated Place,-114.0839996,47.1617012,3097, ,636,1018,749,3002425,0
3,4,Bainville,Roosevelt,208,152,164,Incorporated Place,-104.2220001,48.14099884,1969, ,208,173,180,3003400,1
4,5,Bearcreek,Carbon,79,80,36,Incorporated Place,-109.1569977,45.16019821,4544, ,79,94,59,3004300,1
5,6,Belgrade,Gallatin,7389,5694,3519,Incorporated Place,-111.177002,45.77669907,4455, ,7389,6133,4019,3004975,0
6,7,Belt,Cascade,597,626,569,Incorporated Place,-110.9260025,47.38579941,3514, ,597,784,726,3005275,0
7,8,Big Sandy,Chouteau,598,694,737,Incorporated Place,-110.112999,48.17779922,2700, ,598,728,779,3006250,0
8,9,Billings,Yellowstone,104170,91072,82693,Incorporated Place,-108.5019989,45.7840004,3123, ,104170,95850,86783,3006550,0
9,10,Bonner,Missoula,70,119,121,Manually defined region,-113.8649979,46.87279892,3314,Part of the Bonner-West Riverside CDP (3008462),132,599,899, ,1
10,11,Boulder,Jefferson,1183,1294,1293,Incorporated Place,-112.1200027,46.23709869,4908, ,1183,1411,1374,3008575,0
11,12,Bozeman,Gallatin,37280,28195,23546,Incorporated Place,-111.0390015,45.68040085,4813, ,37280,32245,26551,3008950,0
12,13,Bridger,Carbon,708,728,672,Incorporated Place,-108.9140015,45.2947998,3661, ,708,945,748,3009475,1
13,14,Broadview,Yellowstone,192,150,133,Incorporated Place,-108.8779984,46.09830093,3885, ,192,164,148,3009775,0
14,15,Browning,Glacier,1016,1034,1151,Incorporated Place,-113.0130005,48.55609894,4380, ,1016,1688,1526,3010375,0
15,16,Cascade,Cascade,685,821,734,Incorporated Place,-111.6999969,47.27080154,3389, ,685,860,769,3012775,0
16,17,Charlo,Lake,379,436,354,Census Designated Place,-114.1719971,47.43909836,2936, ,379,504,400,3013900,1
17,18,Chester,Liberty,847,868,938,Incorporated Place,-110.9680023,48.50970078,3133, ,847,882,962,3014200,0
