Lon,Lat,Name,County,Pop_2010,Pop_2000,Pop_1990,Type
-109.4440002,45.52119827,Absarokee,Stillwater,1150,1223,1039,Census Designated Place
-114.4820023,47.00419998,Alberton,Mineral,420,374,354,Incorporated Place
-114.0839996,47.1617012,Arlee,Lake,636,603,490,Census Designated Place
-104.2220001,48.14099884,Bainville,Roosevelt,208,152,164,Incorporated Place
-109.1569977,45.16019821,Bearcreek,Carbon,79,80,36,Incorporated Place
-111.177002,45.77669907,Belgrade,Gallatin,7389,5694,3519,Incorporated Place
-110.9260025,47.38579941,Belt,Cascade,597,626,569,Incorporated Place
-110.112999,48.17779922,Big Sandy,Chouteau,598,694,737,Incorporated Place
-108.5019989,45.7840004,Billings,Yellowstone,104170,91072,82693,Incorporated Place
-113.8649979,46.87279892,Bonner,Missoula,70,119,121,Manually defined region
-112.1200027,46.23709869,Boulder,Jefferson,1183,1294,1293,Incorporated Place
-111.0390015,45.68040085,Bozeman,Gallatin,37280,28195,23546,Incorporated Place
-108.9140015,45.2947998,Bridger,Carbon,708,728,672,Incorporated Place
-108.8779984,46.09830093,Broadview,Yellowstone,192,150,133,Incorporated Place
-113.0130005,48.55609894,Browning,Glacier,1016,1034,1151,Incorporated Place
-111.6999969,47.27080154,Cascade,Cascade,685,821,734,Incorporated Place
-114.1719971,47.43909836,Charlo,Lake,379,436,354,Census Designated Place
-110.9680023,48.50970078,Chester,Liberty,847,868,938,Incorporated Place
-109.2320023,48.58919907,Chinook,Blaine,1203,1383,1507,Incorporated Place
-110.6039963,45.88430023,Clyde Park,Park,288,296,244,Incorporated Place
-106.6259995,45.88489914,Colstrip,Rosebud,2214,2338,2754,Census Designated Place
-114.1809998,48.37319946,Columbia Falls,Flathead,4688,3888,3283,Incorporated Place
-109.2529984,45.63729858,Columbus,Stillwater,1893,1750,1549,Incorporated Place
-111.9459991,48.16949844,Conrad,Pondera,2570,2749,2885,Incorporated Place
-104.5179977,48.14619827,Culbertson,Roosevelt,714,716,797,Incorporated Place
-112.3320007,48.63629913,Cut Bank,Glacier,2869,3078,3288,Incorporated Place
-114.1780014,46.02090073,Darby,Ravalli,720,717,618,Incorporated Place
-112.7289963,46.39619827,Deer Lodge,Powell,3111,3378,3332,Incorporated Place
-109.947998,47.31940079,Denton,Fergus,255,300,349,Incorporated Place
-112.637001,45.21699905,Dillon,Beaverhead,4134,3818,4061,Incorporated Place
-108.2460022,48.39609909,Dodson,Phillips,124,120,133,Incorporated Place
-113.1460037,46.66770172,Drummond,Granite,309,295,249,Incorporated Place
-113.2170029,48.44060135,East Glacier Park,Glacier,363,395,324,Census Designated Place with Alternate Name
-104.5490036,45.88980103,Ekalaka,Carter,332,410,439,Incorporated Place
-111.7300034,45.34870148,Ennis,Madison,838,826,760,Incorporated Place
