OBJECTID,National_Forest,Name,Type,Fee_Y_N,Lat,Long,Transparency,SymbolID
1,BEAVERHEAD-DEERLODGE,ANTONE TRAILHEAD,TRAILHEAD,N,44.78969000020,-112.21200000100,,
2,BEAVERHEAD-DEERLODGE,CARP CREEK TRAILHEAD,TRAILHEAD,N,46.03684999970,-113.43524000000,,
3,BEAVERHEAD-DEERLODGE,EAST FORK SNOWMOBILE TRAILHEAD,TRAILHEAD,N,46.16194444040,-113.33194450000,,
4,BEAVERHEAD-DEERLODGE,EAST FORK TRAILHEAD,TRAILHEAD,N,46.09105555030,-113.36718889900,,
5,BEAVERHEAD-DEERLODGE,ELK RIVER TRAILHEAD,TRAILHEAD,N,44.79991100030,-111.63240000000,,
6,BEAVERHEAD-DEERLODGE,FOOLHEN RIDGE TRAILHEAD,TRAILHEAD,N,45.79340000030,-113.13970000100,,
7,BEAVERHEAD-DEERLODGE,GIBBONS PASS TRAILHEAD,TRAILHEAD,N,45.74961300040,-113.91298700000,,
8,BEAVERHEAD-DEERLODGE,GRASSHOPPER CREEK TRAILHEAD,TRAILHEAD,N,45.44736389010,-113.12320560000,,
9,BEAVERHEAD-DEERLODGE,HIGHLAND TRAILHEAD,TRAILHEAD,N,45.79359999990,-112.51900000000,,
10,BEAVERHEAD-DEERLODGE,HOMESTAKE TRAILHEAD,TRAILHEAD,N,45.91755000030,-112.41646000000,,
11,BEAVERHEAD-DEERLODGE,INDIAN CREEK TRAILHEAD,TRAILHEAD,N,45.10219000000,-111.55423000000,,
12,BEAVERHEAD-DEERLODGE,LACY CREEK TRAILHEAD,TRAILHEAD,N,45.69270000020,-113.17430000100,,
13,BEAVERHEAD-DEERLODGE,LOST MEADOWS TRAILHEAD,TRAILHEAD,N,45.69280000030,-113.09260000000,,
14,BEAVERHEAD-DEERLODGE,MIDDLE FORK TRAILHEAD,TRAILHEAD,N,45.90220000040,-113.31470000000,,
15,BEAVERHEAD-DEERLODGE,MINER LAKE TRAILHEAD,TRAILHEAD,N,45.29909499960,-113.50842200100,,
16,BEAVERHEAD-DEERLODGE,MONO CREEK TRAILHEAD,TRAILHEAD,N,45.52930000020,-113.07000000000,,
17,BEAVERHEAD-DEERLODGE,MUSSIGBROD TRAILHEAD,TRAILHEAD,N,45.79621000000,-113.61122000000,,
18,BEAVERHEAD-DEERLODGE,NORTH WILLOW CREEK TRAILHEAD,TRAILHEAD,N,45.63940000000,-111.92289999900,,
19,BEAVERHEAD-DEERLODGE,ODELL CREEK TRAILHEAD,TRAILHEAD,N,45.54389999960,-113.17240000000,,
20,BEAVERHEAD-DEERLODGE,PAPOOSE TRAILHEAD,TRAILHEAD,N,44.89905999990,-111.55704000000,,
21,BEAVERHEAD-DEERLODGE,PINTLER E-O-R TRAILHEAD,TRAILHEAD,N,45.85919999990,-113.44070000100,,
22,BEAVERHEAD-DEERLODGE,SARATOGA MINE TRAILHEAD,TRAILHEAD,N,46.29933333020,-112.42880560000,,
23,BEAVERHEAD-DEERLODGE,SAWTOOTH TRAILHEAD,TRAILHEAD,N,45.42809999990,-113.06930000000,,
24,BEAVERHEAD-DEERLODGE,SEYMOUR E-O-R TRAILHEAD,TRAILHEAD,N,45.99279999960,-113.18740000000,,
25,BEAVERHEAD-DEERLODGE,SHEEP CREEK TRAILHEAD,TRAILHEAD,N,45.69833332970,-113.04194440000,,
26,BEAVERHEAD-DEERLODGE,STEEL CREEK TAILHEAD,TRAILHEAD,N,45.60341500040,-113.33657200000,,
27,BEAVERHEAD-DEERLODGE,WOLVERINE BASIN TRAILHEAD,TRAILHEAD,N,44.88416665990,-111.76166670100,,
28,BEAVERHEAD-DEERLODGE,WYMAN CREEK TRAILHEAD,TRAILHEAD,N,45.54390000020,-113.15170000000,,
