Longitude,Latitude,OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STFIPS,COFIPS,SECTOR,LEVEL_,HI_OFFER,DEG_GRANT,LOCALE,CLOSE_DATE,MERGE_ID,ALIAS,SIZE_SET,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP,SHELTER_ID
-108.5540753,45.79652193,7232,180595,ROCKY MOUNTAIN COLLEGE,1511 POLY DRIVE,BILLINGS,MT,59102,NOT AVAILABLE,(406) 657-1000,2,A,1266,YELLOWSTONE,30111,USA,45.79652193,-108.5540753,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180595,2009-12-10T00:00:00.000Z,IMAGERY/OTHER,2016-06-07T00:00:00.000Z,rocky.edu,30,111,2,1,7,1,12,-2,-2,RMC,7,2,53,947,1000,1,571,266,NOT AVAILABLE
-112.6412818,45.20812551,7484,489812,PIMA MEDICAL INSTITUTE-DILLON,434 E. POINDEXTER STREET,DILLON,MT,59725,NOT AVAILABLE,(406) 865-0233,3,N,40,BEAVERHEAD,30001,USA,45.20812551,-112.6412818,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=489812,2018-02-13T00:00:00.000Z,IMAGERY/OTHER,2018-04-10T00:00:00.000Z,https://pmi.edu/locations/montana/dillon,30,1,6,2,3,1,33,-2,-2,NOT AVAILABLE,-2,1,-999,35,35,2,0,5,NOT AVAILABLE
-114.3158991,48.19701991,4199,180090,CREVIER'S ACADEMY OF COSMETOLOGY ARTS,240 WEST IDAHO,KALISPELL,MT,59901,NOT AVAILABLE,(406) 257-2525,3,A,77,FLATHEAD,30029,USA,48.19701991,-114.3158991,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180090,2013-06-25T00:00:00.000Z,IMAGERY/OTHER,2016-05-19T00:00:00.000Z,www.crevierschool.com,30,29,6,2,4,2,33,-2,-2,NOT AVAILABLE,-2,1,-999,71,71,2,-999,6,NOT AVAILABLE
-111.049918,45.666829,4360,180461,MONTANA STATE UNIVERSITY,MONTANA STATE UNIVERSITY,BOZEMAN,MT,59717,NOT AVAILABLE,(406) 994-0211,1,A,19677,GALLATIN,30031,USA,45.666829,-111.049918,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180461,2009-12-31T00:00:00.000Z,IMAGERY,2016-06-02T00:00:00.000Z,www.montana.edu/,30,31,1,1,9,1,33,-2,-2,MSU,16,4,3545,12814,16359,1,3680,3318,NOT AVAILABLE
-108.5398093,45.77674376,6480,444316,BOLD BEAUTY ACADEMY,"928 BROADWATER AVE, SUITE C",BILLINGS,MT,59101,NOT AVAILABLE,(406) 252-3232 EXT 216,3,A,136,YELLOWSTONE,30111,USA,45.77674376,-108.5398093,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=444316,2009-10-13T00:00:00.000Z,IMAGERY,2016-06-20T00:00:00.000Z,boldbeautyacademy.com,30,111,6,2,4,2,12,-2,-2,NOT AVAILABLE,-2,1,-999,125,125,2,-999,11,NOT AVAILABLE
-111.0407448,45.67778733,6487,444644,HEALTH WORKS INSTITUTE,407 WEST MAIN STREET,BOZEMAN,MT,59715,NOT AVAILABLE,(406) 582-1555,3,A,62,GALLATIN,30031,USA,45.67778733,-111.0407448,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=444644,2009-10-13T00:00:00.000Z,GEOCODE,2016-06-20T00:00:00.000Z,www.healthworks.edu,30,31,9,3,2,2,33,-2,-2,NOT AVAILABLE,-2,1,-999,33,33,2,-999,29,NOT AVAILABLE
-112.6392641,45.20830634,6885,180692,THE UNIVERSITY OF MONTANA-WESTERN,710 S ATLANTIC,DILLON,MT,59725,NOT AVAILABLE,(406) 683-7011,1,A,1756,BEAVERHEAD,30001,USA,45.20830634,-112.6392641,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180692,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2015-11-20T00:00:00.000Z,www.umwestern.edu,30,1,1,1,5,1,33,-2,-2,WESTERN MONTANA COLLEGE OF THE UNIVERSITY OF MONTANA |WESTERN MONTANA COLLEGE |MONTANA WESTERN |WESTERN |UM WESTERN |WMC |WMC-UM |UMW,9,2,273,1232,1505,1,420,251,NOT AVAILABLE
-111.2697901,47.48609439,6886,180249,GREAT FALLS COLLEGE MONTANA STATE UNIVERSITY,2100 16TH AVE S,GREAT FALLS,MT,59405,NOT AVAILABLE,(406) 771-4300,1,A,1901,CASCADE,30013,USA,47.48609439,-111.2697901,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180249,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-06-29T00:00:00.000Z,www.gfcmsu.edu,30,13,4,2,3,1,13,-2,-2,NOT AVAILABLE,2,2,1016,658,1674,2,-999,227,NOT AVAILABLE
-105.8265235,46.40525963,6887,180373,MILES COMMUNITY COLLEGE,2715 DICKINSON STREET,MILES CITY,MT,59301,NOT AVAILABLE,(800) 541-9281,1,A,645,CUSTER,30017,USA,46.40525963,-105.8265235,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180373,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-06-29T00:00:00.000Z,www.milescc.edu/,30,17,4,2,3,1,33,-2,-2,NOT AVAILABLE,1,1,208,289,497,1,181,148,10795861
-104.7254854,47.08539614,6888,180151,DAWSON COMMUNITY COLLEGE,300 COLLEGE DR,GLENDIVE,MT,59330,NOT AVAILABLE,(406) 377-3396,1,A,359,DAWSON,30021,USA,47.08539614,-104.7254854,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180151,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-06-29T00:00:00.000Z,www.dawson.edu,30,21,4,2,3,1,33,-2,-2,DCC; DAWSON COLLEGE; DAWSON JUNIOR COLLEGE,1,1,126,171,297,1,144,62,NOT AVAILABLE
-114.0283929,46.84311224,6889,180391,MODERN BEAUTY SCHOOL INC,2036 MULLAN ROAD,MISSOULA,MT,59808,NOT AVAILABLE,(406) 549-9608,3,M,-999,MISSOULA,30063,USA,46.84311224,-114.0283929,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180391,2009-10-13T00:00:00.000Z,GEOCODE,2016-06-29T00:00:00.000Z,modernbeautyschool.org,30,63,6,2,4,2,13,10/28/2016,-2,NOT AVAILABLE,-2,1,-999,-999,-999,2,-999,-999,NOT AVAILABLE
-112.5408125,46.01278871,6890,180063,BUTTE ACADEMY OF BEAUTY CULTURE,303 W PARK ST,BUTTE,MT,59701,NOT AVAILABLE,(406) 782-6297,3,A,51,SILVER BOW,30093,USA,46.01278871,-112.5408125,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180063,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-06-29T00:00:00.000Z,butteacademyofbeauty.ipage.com/,30,93,6,2,4,2,33,-2,-2,BUTTE ACADEMY OF BEAUTY,-2,1,-999,44,44,2,-999,7,NOT AVAILABLE
-112.5093648,45.93814508,6891,180081,HIGHLANDS COLLEGE OF MONTANA TECH,25 BASIN CREEK RD,BUTTE,MT,59701,NOT AVAILABLE,(406) 496-3711,1,A,777,SILVER BOW,30093,USA,45.93814508,-112.5093648,611210,JUNIOR COLLEGES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180081,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-06-29T00:00:00.000Z,www.mtech.edu/,30,93,4,2,3,1,33,-2,-2,NOT AVAILABLE,2,1,373,404,777,1,283,-999,NOT AVAILABLE
-112.557,46.01216364,6892,180416,MONTANA TECH OF THE UNIVERSITY OF MONTANA,1300 W PARK ST,BUTTE,MT,59701,NOT AVAILABLE,(406) 496-4256,1,A,2596,SILVER BOW,30093,USA,46.01216364,-112.557,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=180416,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-06-29T00:00:00.000Z,www.mtech.edu,30,93,1,1,9,1,33,-2,-2,NOT AVAILABLE,9,2,271,1761,2032,1,283,564,10781388
